iter	Passed	Remaining
707	16947	4835
708	16972	4811
709	16997	4788
710	17021	4763
711	17046	4740
712	17074	4717
713	17100	4694
714	17127	4671
715	17151	4647
716	17176	4623
717	17199	4599
718	17223	4575
719	17248	4551
720	17271	4527
721	17296	4503
722	17320	4479
723	17346	4456
724	17370	4432
725	17396	4408
726	17421	4385
727	17450	4362
728	17479	4339
729	17512	4318
730	17545	4296
731	17575	4273
732	17600	4250
733	17626	4226
734	17649	4202
735	17675	4178
736	17698	4154
737	17722	4130
738	17745	4106
739	17768	4082
740	17793	4058
741	17814	4033
742	17837	4009
743	17859	3984
744	17883	3960
745	17909	3937
746	17932	3913
747	17956	3888
748	17981	3865
749	18007	3841
750	18030	3817
751	18054	3793
752	18077	3769
753	18101	3745
754	18126	3721
755	18150	3697
756	18177	3673
757	18202	3650
758	18230	3626
759	18257	3603
760	18290	3581
761	18320	3558
762	18348	3534
763	18373	3511
764	18397	3487
765	18423	3463
766	18446	3439
767	18470	3415
768	18497	3391
769	18524	3368
770	18549	3344
771	18575	3320
772	18604	3297
773	18631	3273
774	18660	3250
775	18691	3227
776	18720	3204
777	18743	3180
778	18766	3155
779	18792	3132
780	18815	3107
781	18843	3084
782	18869	3060
783	18895	3036
784	18927	3014
785	18961	2991
786	18997	2969
787	19025	2945
788	19050	2921
789	19077	2897
790	19102	2873
791	19126	2849
792	19151	2825
793	19177	2801
794	19203	2777
795	19230	2754
796	19253	2729
797	19277	2705
798	19302	2681
799	19327	2657
800	19353	2633
801	19378	2609
802	19403	2585
803	19428	2561
804	19452	2537
805	19477	2513
806	19502	2489
807	19528	2465
808	19553	2441
809	19577	2416
810	19600	2392
811	19623	2368
812	19650	2344
813	19676	2320
814	19703	2296
815	19727	2272
816	19751	2248
817	19778	2224
818	19802	2200
819	19826	2176
820	19851	2151
821	19876	2127
822	19900	2103
823	19926	2079
824	19950	2055
825	19975	2031
826	20005	2007
827	20029	1983
828	20054	1959
829	20080	1935
830	20106	1911
831	20158	1889
832	20199	1867
833	20223	1842
834	20249	1818
835	20275	1794
836	20301	1770
837	20326	1746
838	20355	1722
839	20380	1698
840	20407	1674
841	20431	1650
842	20454	1625
843	20477	1601
844	20504	1577
845	20529	1553
846	20554	1528
847	20593	1505
848	20636	1482
849	20673	1459
850	20706	1435
851	20736	1411
852	20760	1387
853	20784	1362
854	20809	1338
855	20830	1314
856	20852	1289
857	20874	1265
858	20896	1240
859	20918	1216
860	20939	1191
861	20962	1167
862	20983	1142
863	21004	1118
864	21023	1093
865	21045	1069
866	21064	1044
867	21085	1020
868	21105	995
869	21126	971
870	21147	946
871	21167	922
872	21186	897
873	21205	873
874	21225	849
875	21245	824
876	21265	800
877	21284	775
878	21305	751
879	21326	727
880	21346	702
881	21365	678
882	21385	653
883	21405	629
884	21426	605
885	21448	580
886	21470	556
887	21491	532
888	21511	508
889	21532	483
890	21553	459
891	21574	435
892	21595	411
893	21614	386
894	21635	362
895	21655	338
896	21675	314
897	21696	289
898	21717	265
899	21739	241
900	21760	217
901	21782	193
902	21803	169
903	21823	144
904	21843	120
905	21865	96
906	21885	72
907	21906	48
908	21927	24
909	21947	0
